"Week",Stored Energy Value [MWh] - BZN|SE3
"Week 1","1566000"
"Week 2","1475000"
"Week 3","1415000"
"Week 4","1361000"
"Week 5","1268000"
"Week 6","1199000"
"Week 7","1158000"
"Week 8","1096000"
"Week 9","1039000"
"Week 10","961000"
"Week 11","909000"
"Week 12","885000"
"Week 13","833000"
"Week 14","837000"
"Week 15","836000"
"Week 16","1017000"
"Week 17","1159000"
"Week 18","1250000"
"Week 19","1368000"
"Week 20","1417000"
"Week 21","1503000"
"Week 22","1564000"
"Week 23","1620000"
"Week 24","1632000"
"Week 25","1629000"
"Week 26","1616000"
"Week 27","1641000"
"Week 28","1607000"
"Week 29","1599000"
"Week 30","1610000"
"Week 31","1635000"
"Week 32","1592000"
"Week 33","1629000"
"Week 34","1604000"
"Week 35","1546000"
"Week 36","1482000"
"Week 37","1515000"
"Week 38","1478000"
"Week 39","1517000"
"Week 40","1560000"
"Week 41","1581000"
"Week 42","1636000"
"Week 43","1684000"
"Week 44","1724000"
"Week 45","1842000"
"Week 46","1853000"
"Week 47","1801000"
"Week 48","1721000"
"Week 49","1636000"
"Week 50","1519000"
"Week 51","1525000"
"Week 52","1579000"
